Symbol,Company Name,Industry,Market Cap
OCFT,OneConnect Financial Technology Co.,Software,963.29M
OCG,Oriental Culture Holding,Internet Retail,104.47M
OCGN,Ocugen,Biotechnology,906.30M
OCN,Ocwen Financial,Thrifts & Mortgage Finance,367.75M
OCSL,Oaktree Specialty Lending,Capital Markets,1.35B
OCUL,Ocular Therapeutix,Pharmaceuticals,533.97M
OCUP,Ocuphire Pharma,Biotechnology,64.53M
OCX,OncoCyte,Biotechnology,200.14M
ODC,Oil-Dri Corporation of America,Household Products,242.68M
ODFL,Old Dominion Freight Line,Road & Rail,41.22B
ODP,The ODP Corporation,Specialty Retail,2.00B
ODT,Odonate Therapeutics,Pharmaceuticals,51.96M
OEC,Orion Engineered Carbons,Chemicals,1.11B
OEG,Orbital Energy Group,Utilities-Diversified,145.97M
OEPW,One Equity Partners Open Water I,Blank Check / SPAC,420.04M
OESX,Orion Energy Systems,Electrical Equipment,112.48M
OFC,Corporate Office Properties Trust,Equity Real Estate Investment Trusts...,3.14B
OFED,Oconee Federal Financial,Thrifts & Mortgage Finance,124.19M
OFG,OFG Bancorp,Banks,1.32B
OFIX,Orthofix Medical,Health Care Equipment & Supplies,613.88M
OFLX,Omega Flex,Machinery,1.28B
OFS,OFS Capital,Capital Markets,146.27M
OG,Onion Global,Software-Application,224.91M
OGE,OGE Energy,Electric Utilities,7.68B
OGEN,Oragenics,Biotechnology,51.91M
OGI,OrganiGram Holdings,Pharmaceuticals,543.80M
OGN,Organon & Co.,Drug Manufacturers-General,7.72B
OGS,ONE Gas,Gas Utilities,4.16B
OHI,Omega Healthcare Investors,Equity Real Estate Investment Trusts...,7.07B
OHPA,Orion Acquisition,Blank Check / SPAC,506.11M
OI,O-I Glass,Containers & Packaging,1.89B
OII,Oceaneering International,Energy Equipment & Services,1.13B
OIIM,O2Micro International,Semiconductors & Semiconductor Equipment,129.15M
OIS,Oil States International,Energy Equipment & Services,305.04M
OKE,ONEOK,"Oil, Gas & Consumable Fuels",26.20B
OKTA,"Okta, Inc.",IT Services,34.87B
OLB,The OLB Group,Software-Application,28.64M
OLED,Universal Display,Semiconductors & Semiconductor Equipment,7.78B
OLK,Olink Holding AB (publ),Diagnostics & Research,2.17B
OLLI,Ollie's Bargain Outlet Holdings,Multiline Retail,3.23B
OLMA,Olema Pharmaceuticals,Biotechnology,377.09M
OLN,Olin Corporation,Chemicals,9.17B
OLO,"Olo, Inc.",Software-Application,3.16B
OLP,One Liberty Properties,Equity Real Estate Investment Trusts...,737.75M
OLPX,Olaplex Holdings,Specialty Retail,18.88B
OM,Outset Medical,Medical Devices,2.17B
OMAB,Grupo Aeroportuario del Centro Norte,Transportation Infrastructure,2.62B
OMC,Omnicom Group,Media,15.57B
OMCL,Omnicell,Health Care Technology,7.93B
OMEG,Omega Alpha SPAC,Blank Check / SPAC,173.43M
OMER,Omeros,Pharmaceuticals,402.15M
OMEX,Odyssey Marine Exploration,Commercial Services & Supplies,74.32M
OMF,OneMain Holdings,Consumer Finance,6.48B
OMGA,Omega Therapeutics,Biotechnology,541.29M
OMI,Owens & Minor,Health Care Providers & Services,3.28B
OMIC,Singular Genomics Systems,Medical Instruments & Supplies,833.00M
OMP,Oasis Midstream Partners LP,"Oil, Gas & Consumable Fuels",1.16B
OMQS,OMNIQ,Software-Application,46.10M
ON,ON Semiconductor,Semiconductors & Semiconductor Equipment,29.26B
ONB,Old National Bancorp,Banks,3.00B
ONCR,Oncorus,Biotechnology,136.01M
ONCS,OncoSec Medical,Biotechnology,37.74M
ONCT,Oncternal Therapeutics,Biotechnology,112.20M
ONCY,Oncolytics Biotech,Biotechnology,76.49M
ONDS,Ondas Holdings,Communication Equipment,273.69M
ONE,OneSmart International Education Group,Diversified Consumer Services,64.65M
ONEM,1Life Healthcare,Health Care Equipment & Supplies,3.35B
ONEW,OneWater Marine,Specialty Retail,820.85M
ONL,Orion Office REIT,REIT-Office,1.06B
ONON,On Holding AG,Apparel Retail,11.70B
ONTF,"ON24, Inc.",Software-Application,825.30M
ONTO,Onto Innovation,Semiconductors & Semiconductor Equipment,4.99B
ONTX,Onconova Therapeutics,Pharmaceuticals,53.27M
ONVO,Organovo Holdings,Biotechnology,31.60M
ONYX,Onyx Acquisition Co. I,Blank Check / SPAC,277.48M
OOMA,"Ooma, Inc.",Diversified Telecommunication Services,486.47M
OP,OceanPal,Marine Shipping,17.90M
OPA,Magnum Opus Acquisition,Blank Check / SPAC,248.00M
OPAD,Offerpad Solutions,Real Estate Services,1.53B
OPBK,OP Bancorp,Thrifts & Mortgage Finance,193.10M
OPCH,Option Care Health,Medical Care Facilities,5.12B
OPEN,Opendoor Technologies,Real Estate Management & Development,8.95B
OPFI,OppFi,Software-Application,61.13M
OPGN,OpGen,Biotechnology,38.95M
OPHC,OptimumBank Holdings,Banks,18.59M
OPI,Office Properties Income Trust,Equity Real Estate Investment Trusts...,1.20B
OPK,OPKO Health,Biotechnology,3.28B
OPNT,Opiant Pharmaceuticals,Pharmaceuticals,158.74M
OPOF,Old Point Financial,Banks,122.60M
OPRA,Opera,Software,812.93M
OPRT,Oportun Financial,Consumer Finance,575.17M
OPRX,OptimizeRx,Health Care Technology,1.10B
OPT,Opthea,Biotechnology,331.04M
OPTN,OptiNose,Pharmaceuticals,133.16M
OPTT,Ocean Power Technologies,Electrical Equipment,82.69M
OPY,Oppenheimer Holdings,Capital Markets,584.98M
OR,Osisko Gold Royalties,Metals & Mining,2.04B
ORA,Ormat Technologies,Independent Power and Renewable Elect...,4.44B
ORAN,Orange,Diversified Telecommunication Services,28.05B
ORC,Orchid Island Capital,Mortgage Real Estate Investment Trus...,796.47M
ORCC,Owl Rock Capital,Capital Markets,5.57B
ORCL,Oracle,Software,232.89B
ORGN,Origin Materials,Mortgage Real Estate Investment Trus...,911.09M
ORGO,Organogenesis Holdings,Biotechnology,1.19B
ORGS,Orgenesis,Biotechnology,69.91M
ORI,Old Republic International,Insurance,7.55B
ORIA,Orion Biotech Opportunities,Blank Check / SPAC,241.79M
ORIC,Oric Pharmaceuticals,Biotechnology,578.91M
ORLA,Orla Mining,Gold,945.83M
ORLY,O'Reilly Automotive,Specialty Retail,47.58B
ORMP,Oramed Pharmaceuticals,Pharmaceuticals,543.87M
