,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment
215,NLOK,nortonlifelock,13.61,1.47,0.11651236779500702,2.71,7.78,3090.0,153.9000000000002,1.37,0.42340000000000005,0.2519
216,NRG,nrg_energy,0.0,1.12,-0.2113436457385502,5.5,4.07,-3502.79,-112.60000000000004,1.08,-0.9581999999999999,-0.1532
217,NUE,nucor,4.32,1.21,0.08508508508508508,5.86,8.3,1688.0,942.0000000000002,1.18,0.9944,0.3467
218,NVDA,nvidia,6.83,2.53,0.05709223911304149,0.79,1.22,1194.59,1007.7000000000003,1.34,0.3981,0.3685
219,NVR,nvr,90.63,7.15,0.18225689696774713,0.71,1.11,4694.0,3178.4000000000005,6.53,0.4072,0.2999
220,NXPI,nxp,19.12,6.18,0.22861775435751924,0.92,0.98,910.15,791.0000000000003,3.84,0.3954,0.3506
221,ORLY,o'reilly_automotive,40.24,1.37,0.023443634324172742,1.87,1.09,2094.0,-129.4,1.03,0.1953,0.1363
222,OXY,occidental_petroleum,24.47,0.76,0.3819071676665614,-84.7,0.46,2386.79,-313.40000000000003,0.15,38.8381,0.7023999999999999
223,ODFL,old_dominion_freight_line,0.0,1.09,-0.1912556896479726,3.01,1.42,3701.0,-4172.5,0.89,-0.060899999999999996,-0.0009
224,OKE,oneok,11.41,1.0,0.1319089259198152,5.82,2.2,1649.2,662.2999999999997,0.91,0.37420000000000003,0.2368
225,PKG,packaging_corporation_of_america,17.62,2.67,0.08643347183302734,1.46,1.66,1950.7,906.9999999999998,2.33,0.1602,0.1291
226,PH,parker-hannifin,17.34,2.31,0.10887218045112781,1.39,1.69,616.2,361.6,1.78,0.2184,0.1822
227,PAYX,paychex,22.26,1.72,0.1374891272832705,1.38,1.2,2505.63,998.9999999999997,1.03,0.23870000000000002,0.1766
228,PYPL,paypal,140.74,1.07,0.20898876404494382,4.11,49.28,133.11,161.7,1.07,0.2266,0.2822
229,PBCT,people's_united_financial,24.1,1.23,0.1346378504672897,0.91,1.26,511.5,-495.5000000000001,0.73,0.2281,0.2007
230,PKI,perkinelmer,29.59,0.95,0.14494003968596325,4.83,2.15,6428.0,3095.7000000000003,0.77,0.552,0.21420000000000003
231,PFE,pfizer,20.01,1.97,0.1551997463538364,1.14,0.83,818.95,320.7,1.4,0.23929999999999998,0.2028
232,PM,philip_morris_international,17.57,1.39,0.06359647413665448,1.36,1.15,12151.0,6237.100000000001,1.18,0.28550000000000003,0.1613
233,PSX,phillips_66,16.49,1.0,0.463015873015873,-5.82,0.32,9210.0,360.99999999999903,0.54,-0.943,0.7329000000000001
234,PNW,pinnacle_west_capital,0.0,1.15,-0.12485896953742008,1.74,6.26,-809.0,1354.1999999999996,0.84,-0.023799999999999998,-0.0694
235,PXD,pioneer_natural_resources,13.95,1.04,0.042229367631296894,2.48,1.12,-297.72,193.3,0.81,0.09720000000000001,0.0636
236,PNC,pnc_financial_services,32.83,0.63,0.011429890896495988,0.62,6.13,416.0,499.49999999999994,0.55,0.0741,0.0967
237,PPG,ppg_industries,38.29,2.25,0.36942675159235666,1.32,0.93,375.88,76.70000000000005,0.81,0.764,0.6563
238,PPL,ppl,28.98,1.34,0.10906621392190152,2.41,1.22,1826.0,874.4,0.93,0.23170000000000002,0.1689
239,PFG,principal_financial_group,0.0,2.62,0.06651795249056694,1.34,1.19,-503.0,422.79999999999984,2.49,-0.0973,0.1047
240,PGR,progressive_corporation,29.9,0.67,0.20871482448505949,1.58,1.64,15626.0,2209.800000000002,0.49,0.2942,0.2572
241,PSA,public_storage,0.0,0.84,0.05097915918074021,2.51,1.2,179.0,781.6000000000003,0.75,-0.0426,-0.0435
242,QRVO,qorvo,15.3,1.45,-0.012603865185323498,1.48,0.72,471.1,215.79999999999973,0.93,0.102,0.0959
243,QCOM,qualcomm,30.09,2.41,0.0976038338658147,1.3,45.49,891.32,344.1000000000001,2.39,0.1235,0.11349999999999999
244,DGX,quest_diagnostics,23.24,1.68,0.33422103861517977,3.15,1.22,14203.0,-3579.0,1.41,1.0984,0.4313
245,RL,ralph_lauren_corporation,10.39,1.62,0.16089795918367347,1.11,8.15,1587.0,641.5999999999999,1.51,0.33640000000000003,0.2514
246,RJF,raymond_james_financial,22.22,2.05,-0.006981910504601714,1.86,0.53,273.1,48.400000000000084,1.64,0.14859999999999998,0.15039999999999998
247,O,realty_income_corporation,39.12,1.23,-0.01495586081311112,1.18,1.39,2539.0,-54.80000000000226,0.95,0.0453,0.0365
248,RF,regions_financial_corporation,10.08,3.71,0.2472694594220932,0.37,0.22,2003.5,2272.3,3.16,0.5052,0.467
249,RHI,robert_half_international,76.39,2.54,0.23683521089861148,0.56,0.79,634.01,192.9,1.73,0.1745,0.2626
250,ROL,rollins,30.1,1.02,0.21027370605785445,2.97,1.36,1141.1,473.59999999999997,0.76,0.5857,0.32689999999999997
251,ROP,roper_technologies,48.18,0.78,0.2629278951201748,0.73,11.32,420.26,-0.30000000000000426,0.73,0.3419,0.3899
252,ROST,ross_stores,46.67,0.83,0.0663083267689171,1.09,2.68,1476.2,1016.1,0.77,0.1027,0.0852
253,RCL,royal_caribbean_group,25.45,1.75,0.021711804365215404,2.49,1.49,1840.5,103.0,1.25,0.4296,0.3644
254,SPGI,s&p_global,0.0,0.8,-0.1647808650816385,4.05,5.71,-5668.99,-209.3000000000001,0.77,-0.6531,-0.1391
255,STX,seagate_technology,25.6,1.27,0.05509814356823091,2.0,1.48,1828.0,-7234.300000000004,0.93,0.1268,0.08900000000000001
256,SEE,sealed_air,16.47,1.27,0.25929787973583596,13.33,1.82,1132.0,-327.60000000000025,0.86,2.3902,0.3247
257,SRE,sempra_energy,22.19,1.02,0.16705533177867288,47.24,1.35,568.3,298.59999999999997,0.64,3.7742,0.2198
258,NOW,servicenow,36.34,0.36,0.04225210758731433,1.86,2.19,-2066.0,689.4999999999998,0.33,0.042199999999999994,0.0197
259,SBNY,signature_bank,48.26,0.83,0.1811855507053837,6.71,1.66,3104.8,-450.1000000000003,0.55,0.6442,0.25239999999999996
260,SNA,snap-on,17.3,4.35,0.20335350479072112,0.62,0.79,1134.2,533.8999999999999,3.01,0.3084,0.4604
261,SEDG,solaredge,14.7,3.04,0.1633599109957352,0.62,0.66,944.8,455.19999999999993,2.23,0.20350000000000001,0.2157
262,SO,southern_company,105.48,3.83,0.07146426786606697,1.14,1.16,95.87,126.4,3.08,0.1268,0.1008
263,LUV,southwest_airlines,24.23,0.86,0.044066175939958145,2.82,0.91,304.0,390.19999999999976,0.69,0.09050000000000001,0.0593
264,SWK,stanley_black_&_decker,0.0,2.03,-0.1409053984196145,2.62,5.8,-1214.0,1083.099999999999,1.98,0.0002,0.018000000000000002
265,SBUX,starbucks,16.8,1.23,0.07991372053872053,1.15,0.7,1693.9,561.6000000000001,0.49,0.1609,0.149
266,STT,state_street_corporation,32.95,1.2,0.2096295340131664,-6.91,1.55,4519.1,-3303.1,1.0,-0.6071,0.6748000000000001
267,SYK,stryker_corporation,86.93,2.42,0.0913942628418946,0.8,1.27,450.95,248.29999999999993,1.71,0.0478,0.0546
268,SIVB,svb_financial,53.81,2.13,0.0758988015978695,1.41,0.44,2790.0,1000.2000000000005,1.35,0.1392,0.0947
269,SYY,sysco,76.45,1.16,0.1159488878371983,0.65,1.03,1396.88,606.3000000000001,1.07,0.1482,0.14300000000000002
270,TMUS,t-mobile_us,59.51,1.38,0.10195828011919966,12.21,3.33,1492.31,162.19999999999948,0.86,0.45299999999999996,0.1282
