Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
123,FBHS,fortune_brands_home_&_security,16.8,0.85,0.04086119323781366,0.61,1.1,1366.3,1306.7,0.67,0.1759,0.0727,12.995972612176457
124,FOXA,fox_corporation (class_a),19.72,1.78,0.13318922514133688,1.58,1.14,676.8,331.9000000000001,1.05,0.258,0.1907,12.423247964995959
125,GPS,gap,15.87,2.5,0.06292767319957653,1.08,0.86,1056.0,1216.0000000000016,1.75,0.1913,0.2635,11.581570019477196
126,GRMN,garmin,13.47,1.36,-0.08720283257460801,3.59,0.84,-155.0,-32.0,0.65,0.1803,0.1933,14.34468312335047
127,IT,gartner,23.28,2.92,0.17964888358615988,0.29,0.45,951.84,420.5,2.11,0.1994,inf,26.558936093226514
128,GD,general_dynamics,42.71,1.89,0.184656900539707,1.3,0.65,424.58,242.7,0.97,0.335,0.295,15.808552512318208
129,GE,general_electric,17.89,1.49,0.1169363965595292,2.27,1.41,2891.0,2309.9,1.1,0.2132,0.16269999999999998,12.337056713659752
130,GIS,general_mills,0.0,1.8,0.009681733896707907,5.09,0.8,1989.0,-12408.3,1.51,-0.0113,0.0534,12.579378122798449
131,GM,general_motors,25.33,0.85,0.13339837122497455,2.31,1.89,2455.1,938.4,0.62,0.2309,0.1517,12.300978162655294
132,GPC,genuine_parts,7.84,1.08,0.042721722778908316,2.96,1.58,9536.0,2082.099999999999,0.88,0.1969,0.081,14.389763059104538
133,GILD,gilead_sciences,24.9,1.19,0.054996024383779485,3.37,0.83,1879.08,47.80000000000015,0.62,0.2505,0.1853,12.611095121025704
134,GL,globe_life,12.39,1.37,0.07140852482020699,2.13,0.73,7518.0,-717.0000000000001,1.2,0.3774,0.2428,11.524433052344074
135,HAL,halliburton,29.58,2.58,0.20992995467655545,2.02,1.19,926.0,433.0,1.43,0.4403,0.3133,12.196143470484087
136,HIG,the_hartford,51.98,2.39,-0.14982471246694135,2.69,1.43,1439.0,-1157.9000000000005,1.79,0.0748,0.0799,13.58858212471001
137,HCA,hca_healthcare,31.22,1.52,0.05965537730243613,2.35,1.12,850.59,20.49999999999995,1.3,0.1523,0.1053,19.113536842655865
138,PEAK,healthpeak_properties,13.09,1.38,0.18862476151188573,26.16,1.22,6397.0,1967.1000000000006,1.17,2.9227,0.2912,12.45860921440504
139,HSY,the_hershey_company,17.58,1.7,0.09746766259792312,1.05,1.27,550.08,112.19999999999985,0.93,0.1558,0.1796,15.094066422028583
